directory_entry,expected_location_or_floor,selected_map_filename,match_confidence,unresolved_reason,source_map,tower_elevator_map_used
West Wing,1,floor-1-main-copy.png,high,,WayFinder Updated Maps S26/LVL 1 /FLOOR 1 MAIN COPY.png,no
Medical Mall,1,floor-1-main-copy.png,high,,WayFinder Updated Maps S26/LVL 1 /FLOOR 1 MAIN COPY.png,no
Tower,1,floor-1-main-copy.png,high,,WayFinder Updated Maps S26/LVL 1 /FLOOR 1 MAIN COPY.png,no
Margaret Birch Wing,1,floor-1-main-copy.png,high,,WayFinder Updated Maps S26/LVL 1 /FLOOR 1 MAIN COPY.png,no
Emergency,2,emerg.png,high,,WayFinder Updated Maps S26/LVL 2/EMERG.png,no
Pathways,unknown,,unresolved,no approved launch map supplied for this entry,,no
Seven oaks Long-Term Care Home,unknown,,unresolved,no approved launch map supplied for this entry,,no
Thomas J. Shoniker Building,1,lvl-1-shoniker-building-main-copy.png,high,,WayFinder Updated Maps S26/LVL 1 /LVL 1 Shoniker Building MAIN COPY.png,no
Cancer Care & Hematology Clinic,1,cancer-care-and-hematology-clinic.png,high,,WayFinder Updated Maps S26/LVL 1 /CANCER CARE & HEMATOLOGY CLINIC.png,no
Cancer Care & Hematology Clinic: Thyroid Rapid Diagnostic Clinic,1,thyroid-rapid-diagnostic-clinic.png,high,,WayFinder Updated Maps S26/LVL 1 /THYROID RAPID DIAGNOSTIC CLINIC.png,no
Human Resources,1,human-resources.png,high,,WayFinder Updated Maps S26/LVL 1 /HUMAN RESOURCES.png,no
Tunnel to Thomas J. Shoniker Building,1,lvl-1-shoniker-building-main-copy.png,high,,WayFinder Updated Maps S26/LVL 1 /LVL 1 Shoniker Building MAIN COPY.png,no
Workplace Health & Safety,1,workplace-health-and-safety.png,high,,WayFinder Updated Maps S26/LVL 1 /WORKPLACE HEALTH & SAFETY.png,no
Dr. P. McGoey Diabetes Education Theatre,1,diabetes-education-theatre.png,high,,WayFinder Updated Maps S26/LVL 1 /DIABETES EDUCATION THEATRE.png,no
Health Records,1,health-records.png,high,,WayFinder Updated Maps S26/LVL 1 /HEALTH RECORDS.png,no
Patient Billing & Payroll,1,patient-billing-and-payroll.png,high,,WayFinder Updated Maps S26/LVL 1 /PATIENT BILLING & PAYROLL.png,no
Diabetes Program,1,diabetes-program.png,high,,WayFinder Updated Maps S26/LVL 1 /DIABETES PROGRAM.png,no
Radiation Assessment Clinic,1,palliative-hub.png,high,,WayFinder Updated Maps S26/LVL 1 /PALLIATIVE HUB.png,no
Bryan and Bette Rowntree Palliative Care Clinical Centre,1,palliative-hub.png,high,,WayFinder Updated Maps S26/LVL 1 /PALLIATIVE HUB.png,no
MRI,1,mri.png,high,,WayFinder Updated Maps S26/LVL 1 /MRI.png,no
Patient Registration,2,patient-registration.png,high,,WayFinder Updated Maps S26/LVL 2/Patient Registration.png,no
Rehab Gym,5,rehab-gym.png,high,,WayFinder Updated Maps S26/LVL 5/REHAB GYM.png,yes
Registration Kiosks,1 and 2,floor-1-main-copy.png|lvl-2-main-copy.png,high,,WayFinder Updated Maps S26/LVL 1 /FLOOR 1 MAIN COPY.png and WayFinder Updated Maps S26/LVL 2/LVL 2 MAIN COPY.png,no
Parking Pay Machine,2,parking-office.png,high,,WayFinder Updated Maps S26/LVL 2/Parking Office.png,no
Security,1,security.png,high,,WayFinder Updated Maps S26/LVL 1 /SECURITY.png,no
Breast Clinic Laboratory,1,breast-clinic.png,high,,WayFinder Updated Maps S26/LVL 1 /BREAST CLINIC.png,no
Volunteer Services,1,volunteer-services.png,high,,WayFinder Updated Maps S26/LVL 1 /VOLUNTEER SERVICES.png,no
Shipping & Receiving,1,,unresolved,no approved launch map supplied for this entry,,no
Morgue,1,,unresolved,no approved launch map supplied for this entry,,no
"Outpatient Mental Health (ADHD Program, First Intervention Treatment, Team (FITT) Program, Link Program)",1,adhd-fitt-link-program.png,high,,"WayFinder Updated Maps S26/LVL 1 /ADHD, FITT, LINK Program.png",no
Outpatient Mental Health (Child & Adolescent Clinic),1,outpatient-mental-health-child-and-adolescent-clinic.png,high,,WayFinder Updated Maps S26/LVL 1 /Outpatient Mental Health Child And Adolescent Clinic.png,no
"Food Court (Tim Hortons, Real Fruit Bubble tea, Subway, Taste of Mediterranean, Flavour Fusion,...)",2,food-court.png,high,,WayFinder Updated Maps S26/LVL 2/Food Court.png,no
Gift Shop,2,gift-shop.png,high,,WayFinder Updated Maps S26/LVL 2/Gift Shop.png,no
Retail Pharmacy,2,shoppers-drug-mart.png,high,,WayFinder Updated Maps S26/LVL 2/Shoppers Drug Mart.png,no
Information Desk,2,info-desk.png,high,,WayFinder Updated Maps S26/LVL 2/Info desk.png,no
Physiotherapy Sports Medicine,2,lifemark.png,high,,WayFinder Updated Maps S26/LVL 2/LIFEMARK.png,no
Maternal Fetal Medicine Clinic,2,maternal-fetal-medicine.png,high,,WayFinder Updated Maps S26/LVL 2/Maternal Fetal Medicine.png,no
Obstetric Medicine Clinic,2,obstetric-medicine-clinic.png,high,,WayFinder Updated Maps S26/LVL 2/Obstetric Medicine Clinic.png,no
Gynecology,2,gynacology.png,high,,WayFinder Updated Maps S26/LVL 2/Gynacology.png,no
Patient Registration,2,patient-registration.png,high,,WayFinder Updated Maps S26/LVL 2/Patient Registration.png,no
Same Day Surgery,2,same-day-surgery.png,high,,WayFinder Updated Maps S26/LVL 2/SAME DAY SURGERY.png,no
Surgical Specialty Clinics,2,surgical-speciality-clinics.png,high,,WayFinder Updated Maps S26/LVL 2/Surgical Speciality Clinics.png,no
Hemodialysis Zone B,4,hemodialysis-zone-b.png,high,,WayFinder Updated Maps S26/LVL 4/Hemodialysis Zone B.png,yes
Life Labs,2,life-labs.png,high,,WayFinder Updated Maps S26/LVL 2/Life Labs.png,no
Pulmonary Function Test (PFT) Lab,2,pft-lab.png,high,,WayFinder Updated Maps S26/LVL 2/PFT Lab.png,no
Endoscopy Clinic,2,endoscopy.png,high,,WayFinder Updated Maps S26/LVL 2/Endoscopy.png,no
Worship & Meditation Room,2,worship-plus-meditation.png,high,,WayFinder Updated Maps S26/LVL 2/Worship + Meditation.png,no
Diagnostic Imaging,2,diagnostic-imaging.png,high,,WayFinder Updated Maps S26/LVL 2/Diagnostic Imaging.png,no
Arrhythmia Clinic Cardiac Diagnostics,2,arrythmia-clinic.png,high,,WayFinder Updated Maps S26/LVL 2/Arrythmia Clinic.png,no
Intensive Care Unit (ICU),2,icu.png,high,,WayFinder Updated Maps S26/LVL 2/ICU.png,no
Cath Lab Code STEMI,2,cath-lab.png,high,,WayFinder Updated Maps S26/LVL 2/Cath Lab.png,no
Fracture Clinic,2,fracture-clinic.png,high,,WayFinder Updated Maps S26/LVL 2/FRACTURE CLINIC.png,no
Kids Care Clinic,7,kids-care-clinic.png,high,,WayFinder Updated Maps S26/LVL 7/Kids Care Clinic.png,yes
Newborn Assessment Clinic,7,newborn-assessment-clinic.png,high,,WayFinder Updated Maps S26/LVL 7/Newborn Assessment Clinic.png,yes
Acute Care,7,acute-care.png,high,,WayFinder Updated Maps S26/LVL 7/ACUTE CARE.png,yes
Kids Care Unit (7W),7,level-7-main-copy.png,high,,WayFinder Updated Maps S26/LVL 7/LEVEL 7 MAIN COPY.png,yes
Pediatric Oncology Group of Ontario (POGO),7,pogo-clinic.png,high,,WayFinder Updated Maps S26/LVL 7/POGO CLINIC.png,yes
Healthy Outcome Pediatric Program of Scarborough (HOPPS) Clinic,7,hopps-clinic.png,high,,WayFinder Updated Maps S26/LVL 7/HOPPS CLINIC.png,yes
